Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 04/14  24:00:00,0.780136051661,4.3900210127,0.0,3.94969522888,0.0,0.108748083528,0.108748083528,0.108748083528,0.159081772126,0.0346598649513,0.0982246905575,0.362309640498,0.415370724106
 04/15  01:00:00,0.675233309809,4.63441838374,0.0,4.26909173236,0.0,0.117542118416,0.117542118416,0.117542118416,0.0978964944452,0.0213291518652,0.0877618024304,0.333591742652,0.342349614806
 04/15  02:00:00,0.624798521491,4.85489535645,0.0,4.51526528436,0.0,0.124320084928,0.124320084928,0.124320084928,0.0652643324166,0.0142194351839,0.0741586566598,0.329724012302,0.316919435941
 04/15  03:00:00,0.612298966102,4.89253107301,0.0,4.54646158973,0.0,0.125179021688,0.125179021688,0.125179021688,0.0652643324166,0.0142194351839,0.0654414409304,0.325082735883,0.32367852765
 04/15  04:00:00,0.612744308994,5.02104975617,0.0,4.60444490513,0.0,0.126775492824,0.126775492824,0.126775492824,0.0652643324166,0.0142194351839,0.076570356547,0.312802692023,0.395059716752
 04/15  05:00:00,0.666046776503,5.27155667918,0.0,4.5445267573,0.0,0.125125749396,0.125125749396,0.125125749396,0.0693433537151,0.0151081499967,0.0902948593445,0.34906266405,0.702987283615
 04/15  06:00:00,0.826936540455,5.61253233203,0.0,4.30339330487,0.0,0.11848655338,0.11848655338,0.11848655338,0.114212562921,0.024884007474,0.148933834476,0.403307582203,1.28136012295
 04/15  07:00:00,1.07685444944,5.936733358,0.0,4.45897132102,0.0,0.122770127204,0.122770127204,0.122770127204,0.212109057366,0.0462131593392,0.235105582796,0.428544522734,1.44824487001
 04/15  08:00:00,1.01168478069,5.66230108942,0.0,4.22058901286,0.0,0.116206679228,0.116206679228,0.116206679228,0.171318844381,0.037326011211,0.307411605372,0.362309640498,1.41675701684
 04/15  09:00:00,0.915767226636,5.29966824701,0.0,3.98545242122,0.0,0.109732596488,0.109732596488,0.109732596488,0.0815804176106,0.0177742926139,0.381213117803,0.308354802121,1.29297705199
 04/15  10:00:00,0.932663718202,5.45346721105,0.0,4.2904438755,0.0,0.118130013054,0.118130013054,0.118130013054,0.0652643324166,0.0142194351839,0.402331141021,0.315606796526,1.14128506095
 04/15  11:00:00,0.926169232836,4.46660899808,0.0,3.44260881495,0.0,0.0947863288858,0.0947863288858,0.0947863288858,0.0652643324166,0.0142194351839,0.419083646564,0.315703489785,1.00225524852
 04/15  12:00:00,0.889133134731,3.73062885485,0.0,2.81260180299,0.0,0.0774401664125,0.0774401664125,0.0774401664125,0.0652643324166,0.0142194351839,0.404711840164,0.310385360555,0.896648417841
 04/15  13:00:00,0.86082022416,3.577534047,0.0,2.72468473193,0.0,0.075019520658,0.075019520658,0.075019520658,0.0652643324166,0.0142194351839,0.368086623627,0.321118312275,0.830731419865
 04/15  14:00:00,0.844700945365,3.34784266138,0.0,2.55508336322,0.0,0.0703498378744,0.0703498378744,0.0703498378744,0.0652643324166,0.0142194351839,0.338555388231,0.339199951659,0.769395980975
 04/15  15:00:00,0.860841236885,3.02396170063,0.0,2.22321396781,0.0,0.0612123833011,0.0612123833011,0.0612123833011,0.0652643324166,0.0142194351839,0.34497794887,0.358055137113,0.776085713567
 04/15  16:00:00,0.973100446347,2.98790138119,0.0,2.1030109622,0.0,0.0579027997163,0.0579027997163,0.0579027997163,0.0693433537151,0.0151081499967,0.390117669639,0.42351647328,0.855719572563
 04/15  17:00:00,1.19265523058,3.70866608288,0.0,2.65916435044,0.0,0.0732155293356,0.0732155293356,0.0732155293356,0.0938174982246,0.0204404425163,0.473564930748,0.514504829754,1.01406381605
 04/15  18:00:00,1.30080906318,3.21407875263,0.0,2.00702265777,0.0,0.0552599263949,0.0552599263949,0.0552599263949,0.171318844381,0.037326011211,0.431195325454,0.558596955739,1.16858121363
 04/15  19:00:00,1.41704404538,3.23107808919,0.0,1.98993717072,0.0,0.0547895068143,0.0547895068143,0.0547895068143,0.338558692541,0.073763313073,0.356238631088,0.576581901865,1.20142727527
 04/15  20:00:00,1.66716400626,3.24334782712,0.0,2.08465307047,0.0,0.0573973466552,0.0573973466552,0.0573973466552,0.554746829721,0.120865199974,0.320638609999,0.596404019907,1.11761581127
 04/15  21:00:00,1.69797833146,3.33131982036,0.0,2.28652595926,0.0,0.0629555703917,0.0629555703917,0.0629555703917,0.599616038926,0.130641057451,0.305173474043,0.582480190648,1.00467395725
 04/15  22:00:00,1.39080025696,3.66310992313,0.0,2.79795347937,0.0,0.0770368499466,0.0770368499466,0.0770368499466,0.448692342834,0.097758611198,0.246138495171,0.50406195781,0.83043780851
 04/15  23:00:00,1.086452294,3.95415225652,0.0,3.28803225885,0.0,0.0905303285465,0.0905303285465,0.0905303285465,0.310005551811,0.0675423112045,0.163241640347,0.438020462091,0.635950149656
 04/15  24:00:00,0.783257749423,4.28060068068,0.0,3.8243202385,0.0,0.105296098214,0.105296098214,0.105296098214,0.159081772126,0.0346598649513,0.104798373634,0.362309640498,0.431325382471
 04/16  01:00:00,0.673601482657,4.57522075378,0.0,4.20982429788,0.0,0.115910291264,0.115910291264,0.115910291264,0.0978964944452,0.0213291518652,0.0877618024304,0.333591742652,0.342419419331
 04/16  02:00:00,0.624894094414,4.85845453916,0.0,4.51873646201,0.0,0.124415657851,0.124415657851,0.124415657851,0.0652643324166,0.0142194351839,0.0741586566598,0.329724012302,0.317007441011
 04/16  03:00:00,0.617116823613,5.06755807766,0.0,4.72144461661,0.0,0.129996879199,0.129996879199,0.129996879199,0.0652643324166,0.0142194351839,0.0654414409304,0.325082735883,0.323722505413
 04/16  04:00:00,0.62129892156,5.33153632311,0.0,4.91514566729,0.0,0.135330105389,0.135330105389,0.135330105389,0.0652643324166,0.0142194351839,0.076570356547,0.312802692023,0.394845521535
 04/16  05:00:00,0.676548043048,5.65199378837,0.0,4.92592936254,0.0,0.135627015941,0.135627015941,0.135627015941,0.0693433537151,0.0151081499967,0.0902948593445,0.34906266405,0.702021787571
 04/16  06:00:00,0.838207867588,6.01926206677,0.0,4.71276426164,0.0,0.129757880513,0.129757880513,0.129757880513,0.114212562921,0.024884007474,0.148933834476,0.403307582203,1.27871890092
 04/16  07:00:00,1.09056887535,6.43161214988,0.0,4.95707483548,0.0,0.136484553118,0.136484553118,0.136484553118,0.212109057366,0.0462131593392,0.235105582796,0.428544522734,1.44502014743
 04/16  08:00:00,1.02585421179,6.17368601324,0.0,4.73521816868,0.0,0.13037611033,0.13037611033,0.13037611033,0.171318844381,0.037326011211,0.307411605372,0.362309640498,1.41351278485
 04/16  09:00:00,0.934019715736,5.95961671297,0.0,4.64837692318,0.0,0.127985085587,0.127985085587,0.127985085587,0.0815804176106,0.0177742926139,0.381213117803,0.308354802121,1.29000101599
