Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 02/09  16:00:00,0.902396555276,3.83361620064,0.0,3.17922003641,0.0851251184404,0.0851251184404,0.0851251184404,0.0973144732719,0.0201624582272,0.302771399031,0.381675106305,0.628104929649
 02/09  17:00:00,1.08568212743,3.82627439671,0.0,3.10607691657,0.0831666768518,0.0831666768518,0.0831666768518,0.150837388859,0.0312518152405,0.353623489359,0.45145475712,0.689099557511
 02/09  18:00:00,1.45716501692,4.44167913599,0.0,3.58453581552,0.0959776399103,0.0959776399103,0.0959776399103,0.291943351027,0.0604873746817,0.444963271704,0.548445379597,0.819364314474
 02/09  19:00:00,1.73735269059,4.4678376158,0.0,3.48746854798,0.0933786179642,0.0933786179642,0.0933786179642,0.501169368817,0.103836653457,0.398173901519,0.595446148832,0.939352469873
 02/09  20:00:00,1.79016351815,3.6007940439,0.0,2.59981325873,0.0696112282377,0.0696112282377,0.0696112282377,0.642275330985,0.133072212898,0.315239230802,0.61461751523,0.958643590516
 02/09  21:00:00,1.71270614952,3.29754256967,0.0,2.36621592531,0.0633565492767,0.0633565492767,0.0633565492767,0.598483842089,0.123999111684,0.275771399459,0.635747247013,0.887533953321
 02/09  22:00:00,1.55440220441,3.11347523402,0.0,2.26985585582,0.0607764628925,0.0607764628925,0.0607764628925,0.496303655472,0.102828532683,0.258240654531,0.620904898834,0.800849084615
 02/09  23:00:00,1.27119321952,3.17647976042,0.0,2.47748238366,0.0663357612649,0.0663357612649,0.0663357612649,0.369794902129,0.0766173355626,0.205783602099,0.537313618463,0.661985168844
 02/09  24:00:00,1.00076947768,3.20917444732,0.0,2.66521292523,0.0713623352053,0.0713623352053,0.0713623352053,0.257883288821,0.0534305150148,0.135829802162,0.466915536473,0.511798602113
 02/10  01:00:00,0.725805265206,3.34368189102,0.0,2.96434781012,0.0793718130692,0.0793718130692,0.0793718130692,0.131374466689,0.0272193178942,0.0862813993051,0.386210268249,0.352730447087
 02/10  02:00:00,0.621408734954,3.45427200608,0.0,3.14946766772,0.0843284847129,0.0843284847129,0.0843284847129,0.0778515511019,0.0161299608809,0.07215281313,0.355597925129,0.280309399307
 02/10  03:00:00,0.57886883151,3.5639243813,0.0,3.27920596717,0.0878022889733,0.0878022889733,0.0878022889733,0.0535229499812,0.0110893513124,0.0596311906089,0.351475050635,0.26050747436
 02/10  04:00:00,0.566506484862,3.55759992865,0.0,3.26750999814,0.0874891238767,0.0874891238767,0.0874891238767,0.0535229499812,0.0110893513124,0.0525294584498,0.346527601241,0.266219789906
 02/10  05:00:00,0.564719132914,3.64296655086,0.0,3.29592529252,0.0882499568082,0.0882499568082,0.0882499568082,0.0535229499812,0.0110893513124,0.06307140009,0.333437474722,0.324072815485
 02/10  06:00:00,0.624180129108,3.97703025523,0.0,3.37455787995,0.0903553814851,0.0903553814851,0.0903553814851,0.0583886702053,0.0120974749363,0.0759011793751,0.372089423106,0.57684143906
 02/10  07:00:00,0.79378712306,4.20648194415,0.0,3.12798837283,0.0837533664448,0.0837533664448,0.0837533664448,0.111911613308,0.0231868205478,0.129674584873,0.429912737888,1.048879545
 02/10  08:00:00,1.05334018318,4.52214982379,0.0,3.31134103462,0.0886627205857,0.0886627205857,0.0886627205857,0.223823226615,0.0463736553479,0.207318086672,0.456814493963,1.17934166746
 02/10  09:00:00,0.990896896593,4.15663806059,0.0,2.98445046172,0.0799100710629,0.0799100710629,0.0799100710629,0.1994945911,0.041333037228,0.268600928953,0.386210268249,1.14558396506
 02/10  10:00:00,0.868064785159,3.92555747942,0.0,2.86087084797,0.0766011685217,0.0766011685217,0.0766011685217,0.0973144732719,0.0201624582272,0.329942516084,0.328696169054,1.04204478779
 02/10  11:00:00,0.88104953222,4.32239870544,0.0,3.38013397183,0.0905046839796,0.0905046839796,0.0905046839796,0.0778515511019,0.0161299608809,0.344788777527,0.336426558731,0.91909039127
 02/10  12:00:00,0.877220041738,3.45901607994,0.0,2.62662090595,0.0703290156568,0.0703290156568,0.0703290156568,0.0778515511019,0.0161299608809,0.361031883506,0.336529630593,0.809213731674
 02/10  13:00:00,0.855744205809,3.12903765159,0.0,2.38278740874,0.0638002585744,0.0638002585744,0.0638002585744,0.0778515511019,0.0161299608809,0.351753757089,0.330860678163,0.723459299549
 02/10  14:00:00,0.827259119576,2.85736699602,0.0,2.16139553035,0.0578723864378,0.0578723864378,0.0578723864378,0.0778515511019,0.0161299608809,0.31775556627,0.342301654885,0.672392424335
 02/10  15:00:00,0.822969617965,2.64993969172,0.0,2.00328817455,0.0536389872912,0.0536389872912,0.0536389872912,0.0827172644472,0.0171380816544,0.292551191427,0.361576093145,0.621744779137
 02/10  16:00:00,0.86882255139,2.57977460054,0.0,1.92531111021,0.0515511145547,0.0515511145547,0.0515511145547,0.0973144732719,0.0201624582272,0.302771399031,0.381675106305,0.628172255751
 02/10  17:00:00,1.05023716977,2.50254898753,0.0,1.78229233169,0.0477217191931,0.0477217191931,0.0477217191931,0.150837388859,0.0312518152405,0.353623489359,0.45145475712,0.689158733215
 02/10  18:00:00,1.42483817223,3.23444092319,0.0,2.37720530919,0.0636507952217,0.0636507952217,0.0636507952217,0.291943351027,0.0604873746817,0.444963271704,0.548445379597,0.819456607999
 02/10  19:00:00,1.68896883203,2.66096512569,0.0,1.68044689119,0.0449947594088,0.0449947594088,0.0449947594088,0.501169368817,0.103836653457,0.398173901519,0.595446148832,0.939501636553
 02/10  20:00:00,1.76380495738,2.61666594468,0.0,1.61538391416,0.0432526674608,0.0432526674608,0.0432526674608,0.642275330985,0.133072212898,0.315239230802,0.61461751523,0.958944835864
 02/10  21:00:00,1.69393831109,2.5967770352,0.0,1.66528194628,0.0445887108443,0.0445887108443,0.0445887108443,0.598483842089,0.123999111684,0.275771399459,0.635747247013,0.887702397875
 02/10  22:00:00,1.54658340934,2.821518242,0.0,1.97784251822,0.0529576678218,0.0529576678218,0.0529576678218,0.496303655472,0.102828532683,0.258240654531,0.620904898834,0.800905430197
 02/10  23:00:00,1.2652805214,2.95571563523,0.0,2.25665721859,0.0604230631451,0.0604230631451,0.0604230631451,0.369794902129,0.0766173355626,0.205783602099,0.537313618463,0.662046208735
 02/10  24:00:00,0.999921322842,3.17747829873,0.0,2.63353636612,0.0705141803701,0.0705141803701,0.0705141803701,0.257883288821,0.0534305150148,0.135829802162,0.466915536473,0.511779012633
 02/11  01:00:00,0.734124200305,3.42285443153,0.0,3.0295288084,0.0811170650918,0.0811170650918,0.0811170650918,0.131374466689,0.0272193178942,0.0928550823819,0.386210268249,0.366721989322
 02/11  02:00:00,0.631200416313,3.67997100288,0.0,3.3677516699,0.0901731419957,0.0901731419957,0.0901731419957,0.0778515511019,0.0161299608809,0.0760998372053,0.355597925129,0.287724393922
