Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/05  03:00:00,0.571472084738,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0630523875987
 01/05  04:00:00,0.562567263305,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0664469785224
 01/05  05:00:00,0.592587377754,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.0996720007709
 01/05  06:00:00,0.792323637452,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.245991108752
 01/05  07:00:00,1.26370154659,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.518952334427
 01/05  08:00:00,1.62717718485,0.0,0.0,0.0,0.0,0.0,0.0,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.591599433544
 01/05  09:00:00,1.54979988504,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.569987991824
 01/05  10:00:00,1.34690101301,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.508161135143
 01/05  11:00:00,1.27249238023,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.436613926127
 01/05  12:00:00,1.22537304048,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.37314324741
 01/05  13:00:00,1.16039135694,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.323388130464
 01/05  14:00:00,1.10956053697,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.294541639077
 01/05  15:00:00,1.08216408781,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.265655703196
 01/05  16:00:00,1.14962330443,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.269510556298
 01/05  17:00:00,1.41868432593,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.304697347291
 01/05  18:00:00,1.92096858465,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.381387387783
 01/05  19:00:00,2.26997941511,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.452521450703
 01/05  20:00:00,2.23434539081,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.645393338158,0.464505434608
 01/05  21:00:00,2.06540944228,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.667581101753,0.422596057629
 01/05  22:00:00,1.87163526797,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.65199555074,0.371683512353
 01/05  23:00:00,1.51032909085,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.564218593295,0.292636571159
 01/05  24:00:00,1.14539860964,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.135920781757,0.490295458973,0.207154687711
 01/06  01:00:00,0.778019918042,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.116094821441
 01/06  02:00:00,0.626647274664,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0755527667771
 01/06  03:00:00,0.57255260427,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0641329071309
 01/06  04:00:00,0.563847758768,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0677274739855
 01/06  05:00:00,0.593921549941,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.101006172957
 01/06  06:00:00,0.793908958509,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.247576429809
 01/06  07:00:00,1.2650501462,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520300934031
 01/06  08:00:00,1.6287373396,0.0,0.0,0.0,0.0,0.0,0.0,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.593159588292
 01/06  09:00:00,1.55172172854,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.571909835331
 01/06  10:00:00,1.34960344925,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.510863571382
 01/06  11:00:00,1.27588990199,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.440011447892
 01/06  12:00:00,1.2294669068,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.377237113723
 01/06  13:00:00,1.1649932738,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.327990047325
 01/06  14:00:00,1.11455779761,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.299538899712
 01/06  15:00:00,1.08722647541,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.270718090792
 01/06  16:00:00,1.15501355546,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.274900807324
 01/06  17:00:00,1.42411803648,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.310131057837
 01/06  18:00:00,1.92630809504,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.38672689818
 01/06  19:00:00,2.27530781889,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.457849854489
 01/06  20:00:00,2.23955891576,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.645393338158,0.469718959556
 01/06  21:00:00,2.07048186447,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.667581101753,0.427668479817
 01/06  22:00:00,1.87675403332,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.65199555074,0.376802277701
 01/06  23:00:00,1.51515825418,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.564218593295,0.29746573449
 01/06  24:00:00,1.14998653126,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.135920781757,0.490295458973,0.211742609333
 01/07  01:00:00,0.796707336481,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128208556803
 01/07  02:00:00,0.79692905522,0.0,0.153953584827,0.0,0.00513316280856,0.159086747635,0.00513316280856,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0828007756229
 01/07  03:00:00,1.10789443474,0.0,0.509538853703,0.0,0.0166745163797,0.526213370083,0.0166745163797,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0706501290897
 01/07  04:00:00,1.25254310138,0.0,0.659851884537,0.0,0.0211066609272,0.680958545464,0.0211066609272,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.074098866958
 01/07  05:00:00,1.50815868123,0.0,0.874351107836,0.0,0.0276010192056,0.901952127042,0.0276010192056,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110620021594
 01/07  06:00:00,1.93410319475,0.0,1.07987338107,0.0,0.0337645677139,1.11363794878,0.0337645677139,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.27003602467
 01/07  07:00:00,3.28902699114,0.0,1.90573599468,0.0,0.0594769318174,1.9652129265,0.0594769318174,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.568439340254
 01/07  08:00:00,3.80696507009,0.0,2.03585101551,0.0,0.0636662656155,2.09951728113,0.0636662656155,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.650708675738
 01/07  09:00:00,2.94156843631,0.0,1.25923536824,0.0,0.0386415197144,1.29787688795,0.0386415197144,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.631442354256
 01/07  10:00:00,2.74711589952,0.0,1.25963137431,0.0,0.038460881115,1.29809225542,0.038460881115,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.565252707767
 01/07  11:00:00,3.59701906354,0.0,2.15724319922,0.0,0.0666896810266,2.22393288024,0.0666896810266,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.486291499902
 01/07  12:00:00,2.82203791349,0.0,1.45677052803,0.0,0.0448830587952,1.50165358683,0.0448830587952,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.415665774068
 01/07  13:00:00,2.66225244938,0.0,1.37375869271,0.0,0.0420716900688,1.41583038278,0.0420716900688,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.361608334031
 01/07  14:00:00,2.61065804528,0.0,1.38057035717,0.0,0.042522383177,1.42309274035,0.042522383177,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.328958374519
 01/07  15:00:00,2.49297113704,0.0,1.29959837492,0.0,0.0401926393905,1.33979101431,0.0401926393905,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.297546165932
