Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 06/03  24:00:00,0.785336885043,0.0215264063852,0.0,0.0,0.040826215801,0.0131130182012,0.0539392340023,0.0131130182012,0.150921453481,0.0325124840344,0.104489735199,0.312523849786,0.11430612854
 06/04  01:00:00,0.57640986594,0.0198201499944,0.0,0.0,0.0,0.0,0.0,0.0,0.0911816699856,0.0196429501656,0.0874394002251,0.287752143518,0.073749702046
 06/04  02:00:00,0.511269457798,0.0195903511539,0.0,0.0,0.0,0.0,0.0,0.0,0.0597397197629,0.0128695235716,0.0742958053889,0.284415886781,0.0633045222934
 06/04  03:00:00,0.501661115906,0.0193145925452,0.0,0.0,0.0,0.0,0.0,0.0,0.0597397197629,0.0128695235716,0.0655605047062,0.280412378698,0.0664349891676
 06/04  04:00:00,0.533569302387,0.0185849812266,0.0,0.0,0.0,0.0,0.0,0.0,0.0597397197629,0.0128695235716,0.0762071431636,0.269819763559,0.0982891523299
 06/04  05:00:00,0.721354607631,0.0207393453564,0.0,0.0,0.0,0.0,0.0,0.0,0.0628839163785,0.0135468669175,0.0894598278958,0.301097170464,0.237722825975
 06/04  06:00:00,1.11213156732,0.0239622740947,0.0,0.0,0.0,0.0,0.0,0.0,0.0848932926875,0.0182882669062,0.146230247206,0.347888171192,0.498187589325
 06/04  07:00:00,1.3641444866,0.025461711529,0.0,0.0,0.0,0.0,0.0,0.0,0.135200470403,0.0291257673051,0.230070744137,0.369657246397,0.568446258357
 06/04  08:00:00,1.30396970861,0.0215264063852,0.0,0.0,0.0,0.0,0.0,0.0,0.100614275765,0.0216749836356,0.301918552373,0.312523849786,0.55059404705
 06/04  09:00:00,1.2187982068,0.01832071256,0.0,0.0,0.0,0.0,0.0,0.0,0.0565955311138,0.0121921802258,0.375444492549,0.265983068313,0.491938934601
 06/04  10:00:00,1.19361606569,0.018751585386,0.0,0.0,0.0182583165097,0.00553049530817,0.0237888118179,0.00553049530817,0.0503071378827,0.010837493534,0.397296302362,0.272238549693,0.422503770397
 06/04  11:00:00,1.13649443435,0.018757330357,0.0,0.0,0.0121587343762,0.00378251829712,0.0159412526734,0.00378251829712,0.0471629412671,0.0101601501881,0.413103835179,0.272321956112,0.361160298934
 06/04  12:00:00,1.08108881442,0.0184413569513,0.0,0.0,0.0207050246129,0.00664651791306,0.0273515425259,0.00664651791306,0.0471629412671,0.0101601501881,0.397818744732,0.267734603099,0.314216832612
